yield,variety,year,site,Merged
48.56666,Peatland,1931,Waseca,PeatlandWaseca
29.86667,Peatland,1931,Morris,PeatlandMorris
41.6,Peatland,1931,Crookston,PeatlandCrookston
34.7,Peatland,1931,Grand Rapids,PeatlandGrand Rapids
32,Peatland,1931,Duluth,PeatlandDuluth
24.66667,No. 475,1931,University Farm,No. 475University Farm
46.76667,No. 475,1931,Waseca,No. 475Waseca
44.1,No. 475,1931,Crookston,No. 475Crookston
19.7,No. 475,1931,Grand Rapids,No. 475Grand Rapids
33.06666,No. 475,1931,Duluth,No. 475Duluth
39.3,Wisconsin No. 38,1931,University Farm,Wisconsin No. 38University Farm
58.8,Wisconsin No. 38,1931,Waseca,Wisconsin No. 38Waseca
29.46667,Wisconsin No. 38,1931,Morris,Wisconsin No. 38Morris
49.86667,Wisconsin No. 38,1931,Crookston,Wisconsin No. 38Crookston
34.46667,Wisconsin No. 38,1931,Grand Rapids,Wisconsin No. 38Grand Rapids
26.9,Manchuria,1932,University Farm,ManchuriaUniversity Farm
33.46667,Manchuria,1932,Waseca,ManchuriaWaseca
32.96667,Manchuria,1932,Crookston,ManchuriaCrookston
22.13333,Manchuria,1932,Grand Rapids,ManchuriaGrand Rapids
22.56667,Manchuria,1932,Duluth,ManchuriaDuluth
36.8,Glabron,1932,University Farm,GlabronUniversity Farm
37.73333,Glabron,1932,Waseca,GlabronWaseca
35.13333,Glabron,1932,Morris,GlabronMorris
26.16667,Glabron,1932,Crookston,GlabronCrookston
25.86667,Glabron,1932,Duluth,GlabronDuluth
38.5,Svansota,1932,Waseca,SvansotaWaseca
35.03333,Svansota,1932,Morris,SvansotaMorris
20.63333,Svansota,1932,Crookston,SvansotaCrookston
16.63333,Svansota,1932,Grand Rapids,SvansotaGrand Rapids
22.23333,Svansota,1932,Duluth,SvansotaDuluth
26.8,Velvet,1932,University Farm,VelvetUniversity Farm
38.83333,Velvet,1932,Morris,VelvetMorris
32.06666,Velvet,1932,Crookston,VelvetCrookston
32.23333,Velvet,1932,Grand Rapids,VelvetGrand Rapids
22.46667,Velvet,1932,Duluth,VelvetDuluth
29.06667,Trebi,1932,University Farm,TrebiUniversity Farm
49.2333,Trebi,1932,Waseca,TrebiWaseca
41.83333,Trebi,1932,Crookston,TrebiCrookston
20.63333,Trebi,1932,Grand Rapids,TrebiGrand Rapids
30.6,Trebi,1932,Duluth,TrebiDuluth
26.43334,No. 457,1932,University Farm,No. 457University Farm
42.2,No. 457,1932,Waseca,No. 457Waseca
43.53334,No. 457,1932,Morris,No. 457Morris
19.46667,No. 457,1932,Grand Rapids,No. 457Grand Rapids
22.7,No. 457,1932,Duluth,No. 457Duluth
25.56667,No. 462,1932,University Farm,No. 462University Farm
44.7,No. 462,1932,Waseca,No. 462Waseca
47,No. 462,1932,Morris,No. 462Morris
30.53333,No. 462,1932,Crookston,No. 462Crookston
19.9,No. 462,1932,Grand Rapids,No. 462Grand Rapids
22.5,No. 462,1932,Duluth,No. 462Duluth
28.06667,Peatland,1932,University Farm,PeatlandUniversity Farm
36.03333,Peatland,1932,Waseca,PeatlandWaseca
43.2,Peatland,1932,Morris,PeatlandMorris
25.23333,Peatland,1932,Crookston,PeatlandCrookston
26.76667,Peatland,1932,Grand Rapids,PeatlandGrand Rapids
31.36667,Peatland,1932,Duluth,PeatlandDuluth
30,No. 475,1932,University Farm,No. 475University Farm
41.26667,No. 475,1932,Waseca,No. 475Waseca
32.13333,No. 475,1932,Crookston,No. 475Crookston
15.23333,No. 475,1932,Grand Rapids,No. 475Grand Rapids
27.36667,No. 475,1932,Duluth,No. 475Duluth
38,Wisconsin No. 38,1932,University Farm,Wisconsin No. 38University Farm
58.16667,Wisconsin No. 38,1932,Waseca,Wisconsin No. 38Waseca
47.16667,Wisconsin No. 38,1932,Morris,Wisconsin No. 38Morris
35.9,Wisconsin No. 38,1932,Crookston,Wisconsin No. 38Crookston
20.66667,Wisconsin No. 38,1932,Grand Rapids,Wisconsin No. 38Grand Rapids
